SpeciesId,MinPH,MaxPH,MinTemperatureC,MaxTemperatureC
5,5.0,7.0,20.0,26.0
9,6.0,7.5,20.0,26.0
28,5.5,7.0,24.0,28.0
6,6.0,7.5,22.0,26.0
26,6.0,7.4,22.0,25.0
19,6.0,7.4,24.0,30.0
30,7.5,8.5,24.0,28.0
1,5.5,7.0,21.0,26.0
17,6.0,7.5,20.0,26.0
29,6.5,7.5,18.0,24.0
7,6.5,7.5,18.0,25.0
18,6.0,7.0,23.0,28.0
12,6.5,7.5,20.0,24.0
11,6.0,8.0,24.0,28.0
13,6.5,7.5,20.0,28.0
23,6.0,7.5,21.0,26.0
25,6.0,7.5,21.0,26.0
8,6.5,7.5,24.0,28.0
10,6.0,7.5,22.0,28.0
32,6.0,8.0,16.0,26.0
14,7.0,8.0,20.0,26.0
15,7.0,8.5,22.0,28.0
16,7.5,8.5,24.0,28.0
21,7.0,8.3,20.0,28.0